product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
LIVPURE LIV-PEP-PRO-PLUS+ 7 L RO + UV + UF Water Purifier with Taste Enhancer,"₹8,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Manufacturer Warranty']",4.3,"60,181","9,233"
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"44,883","5,154"
Pureit by HUL Advanced Max 6 L Mineral RO + UV + MF + MP Water Purifier,"₹9,499","['Electrical & Storage', 'Mineral RO + UV + MF + MP', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.4,"12,195","2,378"
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
"KENT gold original Spare Kit UF membrane, carbon pack & Sediment pair 4000 L Gravity Based Water Purif...",₹670,"['Non - Electrical & Non - Storage', 'Gravity Based', '4000 L Capacity', 'na']",4.2,"4,993",497
Aquagrand Epic purify Mineral+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier,"₹5,760","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,"2,986",471
Blue Star Aristo RO+UV 7 L RO + UV Water Purifier with Pre Filter,"₹8,999","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty']",4.2,"11,203","1,727"
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
Blue Star Opulus 8 L RO + UV + UF + IBT + Alkaline Water Purifier,"₹13,099","['Electrical & Storage', 'RO + UV + UF + IBT + Alkaline', '8 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty however RO Membrane gets clogged within the first year and/or if the filters get clogged within the first six months, they shall be cleaned/repaired/replaced at no extra charge']",4.3,"2,626",330
KENT ULTRA STORAGE 8 L UV + UF Water Purifier,"₹6,999","['Electrical & Storage', 'UV + UF', '8 L Capacity', '1 year domestic manufacturer warranty']",4,"3,124",412
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + UV + MTDS Water Purifier,"₹9,699","['Electrical & Storage', 'RO + UV + MTDS', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"8,239","1,622"
Blue Star Aristo 7 L RO + UV + UF Water Purifier with Pre Filter,"₹9,049","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty']",4.1,"10,255","1,375"
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"18,523","4,294"
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,182",123
Blue Star Aristo RO+UF 7 L RO + UF Water Purifier with Pre Filter,"₹7,999","['Electrical & Storage', 'RO + UF', '7 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty']",4.2,"11,203","1,727"
NASAKA Xtra Sure 20 L Gravity Based Water Purifier,"₹1,849","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', 'One Year manufacturer warranty']",4.1,"5,469",772
LIVPURE Pep Pro Star 7 L RO + UV + UF + Minerals Water Purifier,"₹9,499","['Electrical & Storage', 'RO + UV + UF + Minerals', '7 L Capacity', '1 Year Manufacturer Warranty']",4.3,800,103
KENT GOLD STAR (11018) 22 L Gravity Based + UF Water Purifier,"₹2,690","['Non - Electrical & Storage', 'Gravity Based + UF', '22 L Capacity', 'Not Applicable']",3.9,"3,886",474
